long_name,value_eur,club_name
Frederic Soelle Soelle,625000.0,Mechelen
Nils De Wilde,650000.0,Cercle Brugge
Kobe Corbanie,600000.0,Antwerp
Nathan Bitumazala,575000.0,AS Eupen
Bram Lagae,550000.0,Gent
Nathan Huygevelde,575000.0,Union Saint-Gilloise
Bas Van Den Eynden,525000.0,Mechelen
Amadou Keita,550000.0,AS Eupen
Louis Fortin,475000.0,Gent
Louis Torres,525000.0,Cercle Brugge
Brian Emo Agbor,475000.0,Gent
Noah Dodeigne,475000.0,Standard Liège
Adedire Mebude,625000.0,Westerlo
Matias Fernandez-Pardo,575000.0,Gent
Vic Chambaere,475000.0,Genk
Christalino Atemona,525000.0,Kortrijk
Joachim Imbrechts,450000.0,Union Saint-Gilloise
Celestin De Schrevel,450000.0,Gent
Oregan Ravet,450000.0,OH Leuven
Tom Roufosse,450000.0,AS Eupen
Benjamin Thoresen Faraas,500000.0,Club Brugge
Matthieu Luka Epolo,450000.0,Standard Liège
Ibrahima Sory Bangoura,450000.0,Genk
Griffin McDorman Yow,500000.0,Westerlo
Noah De Ridder,475000.0,Gent
Rayan Berberi,475000.0,Standard Liège
Olivier Dumont,450000.0,Sint-Truiden
Niklo Dailly,450000.0,RWDM
Mitchy Ntelo,450000.0,Sporting Charleroi
Joël Schingtienne,425000.0,OH Leuven
Kahveh Zahiroleslam,450000.0,Sint-Truiden
Sebastian Joffre,300000.0,RWDM
Bilal Bafdili,425000.0,Mechelen
Xander Martlé,425000.0,Cercle Brugge
Romaric Etonde,425000.0,Cercle Brugge
Maxime Kali Wenssens,350000.0,Union Saint-Gilloise
Martin Delavallée,350000.0,Sporting Charleroi
Sada Diallo,350000.0,RWDM
Nicolas Alavoine,325000.0,RWDM
Roméo Monticelli,350000.0,Sporting Charleroi
Tristan Degreef,350000.0,Anderlecht
Robbie Van Hauter,300000.0,Gent
Irsan Muric,350000.0,Westerlo
Djovkar Doudaev,275000.0,RWDM
Ilias El Hari,275000.0,Westerlo
Andréa Librici,275000.0,Sint-Truiden
